sid,session_code,mk_session,prolific_id,participant_code,round_nb,player,dyad,manipulation,condition,difficulty,confidence_1,confidence_2,indv_response,correct_response,indv_responded_correctly,rt_individual,indv_stim_order,group_choice,grp_responded_correctly,decision_count,group_rt,both_agree,mean_social_dominance,mean_aggresive_dominance,grp_correct
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,66904bbd1eb9bb790b9b0f6f,nixxcdh0,21,1,p1p3,dominant,Conflict,Easy,24.0,67,Right,Left,False,5466.0,27:20,Right,,1,2236.0,1,5.0,2.4285714285714284,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,66904bbd1eb9bb790b9b0f6f,nixxcdh0,22,1,p1p2,dominant,Conflict,Easy,65.0,68,Right,Right,True,7431.7,30:40,Right,,1,2820.0,1,5.0,2.4285714285714284,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,66904bbd1eb9bb790b9b0f6f,nixxcdh0,23,1,p1p6,dominant,Non-conflict,Easy,99.0,99,Left,Left,True,1298.8,40:30,Left,,1,1861.8,1,5.0,2.4285714285714284,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,66904bbd1eb9bb790b9b0f6f,nixxcdh0,24,1,p1p6,submissive,Conflict,Easy,98.0,99,Right,Right,True,1526.3,30:40,Right,,1,8501.9,1,5.0,2.4285714285714284,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,66904bbd1eb9bb790b9b0f6f,nixxcdh0,25,1,p1p6,submissive,Non-conflict,Hard,89.0,12,Left,Right,False,1211.6,30:34,Right,,1,4756.1,1,5.0,2.4285714285714284,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,66904bbd1eb9bb790b9b0f6f,nixxcdh0,26,1,p1p5,submissive,Non-conflict,Hard,67.0,64,Left,Left,True,1321.3,23:20,Left,,1,3060.0,1,5.0,2.4285714285714284,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,66904bbd1eb9bb790b9b0f6f,nixxcdh0,27,1,p1p6,submissive,Non-conflict,Easy,77.0,92.0,Left,Left,True,2205.4,27:20,Left,,1,6464.7,1,5.0,2.4285714285714284,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,66904bbd1eb9bb790b9b0f6f,nixxcdh0,28,1,p1p2,submissive,Non-conflict,Easy,99.0,97,Right,Right,True,1346.4,30:40,Right,,1,1432.8,1,5.0,2.4285714285714284,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,66904bbd1eb9bb790b9b0f6f,nixxcdh0,29,1,p1p6,dominant,Non-conflict,Hard,48.0,95,Right,Right,True,2060.9,30:34,Right,,1,8103.6,1,5.0,2.4285714285714284,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,66904bbd1eb9bb790b9b0f6f,nixxcdh0,30,1,p1p5,dominant,Conflict,Easy,78.0,99,Left,Left,True,1267.9,27:20,Left,,1,15178.6,1,5.0,2.4285714285714284,
