sid,session_code,mk_session,prolific_id,participant_code,round_nb,player,dyad,manipulation,condition,difficulty,confidence_1,confidence_2,indv_response,correct_response,indv_responded_correctly,rt_individual,indv_stim_order,group_choice,grp_responded_correctly,decision_count,group_rt,both_agree,mean_social_dominance,mean_aggresive_dominance
interactive_psychophysics,rix3vv3s,mk:psyphysical_main:3,665a1f5b7901b74f83188cf8,e9xef3dy,1,1,p1p2,dominant,Conflict,Easy,88,60,Left,Left,True,4252.2,27:20,Left,,1,28878.6,1,4.0,3.142857142857143
interactive_psychophysics,rix3vv3s,mk:psyphysical_main:3,665a1f5b7901b74f83188cf8,e9xef3dy,2,1,p1p3,dominant,Non-conflict,Easy,85,85,Right,Right,True,1788.8,30:40,Right,True,1,20949.1,1,4.0,3.142857142857143
interactive_psychophysics,rix3vv3s,mk:psyphysical_main:3,665a1f5b7901b74f83188cf8,e9xef3dy,3,1,p1p4,submissive,Non-conflict,Hard,34,45,Left,Left,True,1600.0,23:20,Left,True,1,16327.6,1,4.0,3.142857142857143
interactive_psychophysics,rix3vv3s,mk:psyphysical_main:3,665a1f5b7901b74f83188cf8,e9xef3dy,4,1,p1p5,submissive,Conflict,Easy,0,25,Left,Right,False,11698.8,20:27,Left,,1,16037.8,1,4.0,3.142857142857143
interactive_psychophysics,rix3vv3s,mk:psyphysical_main:3,665a1f5b7901b74f83188cf8,e9xef3dy,5,1,p1p6,submissive,Non-conflict,Easy,39,35,Left,Left,True,2460.6,40:30,Left,True,1,8452.3,1,4.0,3.142857142857143
interactive_psychophysics,rix3vv3s,mk:psyphysical_main:3,665a1f5b7901b74f83188cf8,e9xef3dy,6,1,p1p2,dominant,Non-conflict,Hard,28,50,Left,Left,True,1628.9,23:20,Left,True,1,6787.6,1,4.0,3.142857142857143
interactive_psychophysics,rix3vv3s,mk:psyphysical_main:3,665a1f5b7901b74f83188cf8,e9xef3dy,7,1,p1p3,dominant,Conflict,Easy,5,15,Right,Left,False,6299.6,40:30,Right,,1,8050.7,1,4.0,3.142857142857143
interactive_psychophysics,rix3vv3s,mk:psyphysical_main:3,665a1f5b7901b74f83188cf8,e9xef3dy,8,1,p1p4,dominant,Non-conflict,Easy,13,10,Left,Left,True,3305.5,27:20,Left,True,1,13826.1,1,4.0,3.142857142857143
interactive_psychophysics,rix3vv3s,mk:psyphysical_main:3,665a1f5b7901b74f83188cf8,e9xef3dy,9,1,p1p5,submissive,Non-conflict,Hard,64,24,Left,Left,True,3167.2,23:20,Left,True,1,22035.0,1,4.0,3.142857142857143
interactive_psychophysics,rix3vv3s,mk:psyphysical_main:3,665a1f5b7901b74f83188cf8,e9xef3dy,10,1,p1p6,submissive,Conflict,Easy,23,60,Left,Left,True,5911.0,40:30,Right,,1,2054.7,1,4.0,3.142857142857143
