player_nb,round_nb,dyad,speech_onset
p1,1,p1p2,2575.0625
p1,2,p1p3,4716.583333333333
p1,3,p1p4,1158.4375
p1,4,p1p5,2137.416666666667
p1,5,p1p6,1291.625
p1,6,p1p2,999.9791666666666
p1,7,p1p3,1633.2083333333335
p1,8,p1p4,133.29166666666666
p1,9,p1p5,1299.9791666666667
p1,10,p1p6,1816.5625
p1,11,p1p2,1170.7916666666667
p1,12,p1p3,1087.4791666666667
p1,13,p1p4,779.1875
p1,14,p1p5,749.9375
p1,15,p1p6,453.97916666666663
p1,16,p1p2,349.8333333333333
p1,17,p1p2,0.0
p1,18,p1p3,662.3958333333333
p1,19,p1p4,229.10416666666666
p1,20,p1p5,1837.4166666666667
p1,21,p1p6,791.6458333333334
p1,22,p1p2,479.1875
p1,23,p1p3,304.25
p1,24,p1p3,366.7291666666667
p1,25,p1p4,287.39583333333337
p1,26,p1p4,0.0
p1,27,p1p5,695.9791666666667
p1,28,p1p5,766.6458333333334
p1,29,p1p6,620.9583333333333
p1,30,p1p2,66.64583333333333
p2,1,p1p2,1941.5833333333335
p2,2,p2p5,3458.3958333333335
p2,3,p2p6,3958.25
p2,4,p2p4,1912.625
p2,5,p2p3,2670.9375
p2,6,p1p2,5149.916666666667
p2,7,p2p5,3366.625
p2,8,p2p6,1225.0
p2,9,p2p4,679.1875
p2,10,p2p3,395.8333333333333
p2,11,p1p2,987.5208333333333
p2,12,p2p5,3466.5416666666665
p2,13,p2p6,3487.4791666666665
p2,14,p2p4,4679.145833333333
p2,15,p2p3,6300.104166666666
p2,16,p1p2,4324.9375
p2,17,p1p2,1183.3958333333335
p2,18,p2p5,2825.083333333333
p2,19,p2p6,3804.125
p2,20,p2p4,1120.6666666666667
p2,21,p2p3,4079.083333333333
p2,22,p1p2,675.1041666666666
p2,23,p2p5,3454.125
p2,24,p2p5,2437.479166666667
p2,25,p2p6,4570.854166666667
p2,26,p2p6,4025.125
p2,27,p2p4,6270.854166666667
p2,28,p2p4,854.1875
p2,29,p2p3,4916.583333333334
p2,30,p1p2,3883.375
p3,1,p3p4,0.0
p3,2,p1p3,733.2291666666667
p3,3,p3p5,675.0
p3,4,p3p6,3408.2291666666665
p3,5,p2p3,537.4583333333334
p3,6,p3p4,924.9375
p3,7,p1p3,1258.25
p3,8,p3p5,4.166666666666667
p3,9,p3p6,4466.729166666667
p3,10,p2p3,674.8125
p3,11,p3p4,1791.6458333333335
p3,12,p1p3,566.6875
p3,13,p3p5,1541.7083333333333
p3,14,p3p6,399.95833333333337
p3,15,p2p3,1495.625
p3,16,p3p4,3804.0208333333335
p3,17,p3p4,862.5208333333333
p3,18,p1p3,2412.541666666667
p3,19,p3p5,1183.25
