sid,session_code,mk_session,prolific_id,participant_code,player,mean_social_dominance,mean_aggresive_dominance,sound_quality,sound_comment,fidelity,fidelity_comment,xp_goal,enough_time,manipulation,detection_degree,manipulation_comment,unique_interactions
ultimatum_game,mklqs5l0,mk:Ultimatum_Game_Real:3,5f1c29f047a90a049690ef7e,r615kdio,1,4.0,3.2857142857142856,4,"The only issue that I had with some people was the volume of their microphone appeared to be quite low, making it hard to hear them properly",4,the ones with the lower volume I did tend to just talk over them and it was more of a one way conversation,To see if people are fairer and more honest when they have a verbal interaction rather than just online,7,0.0,0,,6
ultimatum_game,mklqs5l0,mk:Ultimatum_Game_Real:3,59f8868e05d1d60001f1464d,4kt189x1,2,3.0,2.4285714285714284,6,,4,,To see if people would be selfish to try and get the bonus,7,0.0,0,,6
ultimatum_game,mklqs5l0,mk:Ultimatum_Game_Real:3,5dfb7cbd01423f8a774d893b,kzzq77pl,3,6.125,2.0,4,none,4,none,social interacting,5,0.0,0,,10
ultimatum_game,mklqs5l0,mk:Ultimatum_Game_Real:3,,97ajc1w1,4,0.0,0.0,0,,0,,,0,,0,,0
ultimatum_game,mklqs5l0,mk:Ultimatum_Game_Real:3,5d1a69d8f97a18001977e0d7,2kti5bsb,5,5.625,2.4285714285714284,3,"Sometimes people were muffled, I had to say to a couple of peope that I couldn't hear them very well.",4,"The times when I couldn't hear the other party made it harder, less time, and less sure what they were saying.",The goal was to talk and negociate.  To decide who deserved to get the most coins and the bonus.,7,0.0,0,,20
ultimatum_game,mklqs5l0,mk:Ultimatum_Game_Real:3,6039a06979e3544a49aa3912,u17le5xr,6,5.5,2.857142857142857,4,Background connection issue noises,4,nothing in particualar,Social experiment when someone needs to make a bold decision,4,0.0,0,,6
