sid,participant_code,round_nb,role,player,dyad,manipulation,trial_payoff,responded,sent_amount,offer_response,rt,prolific_id,mean_social_dominance,mean_aggresive_dominance
ultimatum_game,yym5cvhb,14,proposer,2,p2p4,1,6.0,1,4.0,1.0,3186.6,607c5af095d4f618fc21a1d1,3.625,3.4285714285714284
ultimatum_game,yym5cvhb,15,proposer,2,p2p3,0,6.0,1,4.0,1.0,4801.7,607c5af095d4f618fc21a1d1,3.625,3.4285714285714284
ultimatum_game,yym5cvhb,16,proposer,2,p1p2,1,5.0,1,5.0,1.0,5428.0,607c5af095d4f618fc21a1d1,3.625,3.4285714285714284
ultimatum_game,yym5cvhb,17,responder,2,p2p5,0,5.0,1,5.0,1.0,4042.2,607c5af095d4f618fc21a1d1,3.625,3.4285714285714284
ultimatum_game,yym5cvhb,18,responder,2,p2p6,1,5.0,1,5.0,1.0,3564.4,607c5af095d4f618fc21a1d1,3.625,3.4285714285714284
ultimatum_game,yym5cvhb,19,responder,2,p2p4,0,6.0,1,6.0,1.0,3678.4,607c5af095d4f618fc21a1d1,3.625,3.4285714285714284
ultimatum_game,yym5cvhb,20,responder,2,p2p3,1,5.0,1,5.0,1.0,3771.9,607c5af095d4f618fc21a1d1,3.625,3.4285714285714284
ultimatum_game,77od11ub,1,proposer,3,p3p4,0,0.0,0,,,1184.2,62d6d87d91cf24a3c1c0f10c,4.75,3.0
ultimatum_game,77od11ub,2,responder,3,p1p3,1,5.0,1,5.0,1.0,3642.1,62d6d87d91cf24a3c1c0f10c,4.75,3.0
ultimatum_game,77od11ub,3,proposer,3,p3p5,1,0.0,1,5.0,,2712.8,62d6d87d91cf24a3c1c0f10c,4.75,3.0
ultimatum_game,77od11ub,4,proposer,3,p3p6,0,5.0,1,5.0,1.0,2148.8,62d6d87d91cf24a3c1c0f10c,4.75,3.0
ultimatum_game,77od11ub,5,responder,3,p2p3,0,4.0,1,4.0,1.0,3588.6,62d6d87d91cf24a3c1c0f10c,4.75,3.0
ultimatum_game,77od11ub,6,responder,3,p3p4,1,4.0,1,4.0,1.0,3403.7,62d6d87d91cf24a3c1c0f10c,4.75,3.0
ultimatum_game,77od11ub,7,proposer,3,p1p3,0,5.0,1,5.0,1.0,3179.1,62d6d87d91cf24a3c1c0f10c,4.75,3.0
ultimatum_game,77od11ub,8,responder,3,p3p5,1,4.0,1,4.0,1.0,2446.6,62d6d87d91cf24a3c1c0f10c,4.75,3.0
ultimatum_game,77od11ub,9,responder,3,p3p6,0,5.0,1,5.0,1.0,3077.0,62d6d87d91cf24a3c1c0f10c,4.75,3.0
ultimatum_game,77od11ub,10,proposer,3,p2p3,1,6.0,1,4.0,1.0,2852.4,62d6d87d91cf24a3c1c0f10c,4.75,3.0
ultimatum_game,77od11ub,11,proposer,3,p3p4,1,6.0,1,4.0,1.0,2726.1,62d6d87d91cf24a3c1c0f10c,4.75,3.0
ultimatum_game,77od11ub,12,responder,3,p1p3,0,5.0,1,5.0,1.0,4008.6,62d6d87d91cf24a3c1c0f10c,4.75,3.0
ultimatum_game,77od11ub,13,proposer,3,p3p5,0,5.0,1,5.0,1.0,4077.7,62d6d87d91cf24a3c1c0f10c,4.75,3.0
ultimatum_game,77od11ub,14,proposer,3,p3p6,1,6.0,1,4.0,1.0,2150.6,62d6d87d91cf24a3c1c0f10c,4.75,3.0
ultimatum_game,77od11ub,15,responder,3,p2p3,1,4.0,1,4.0,1.0,2806.4,62d6d87d91cf24a3c1c0f10c,4.75,3.0
ultimatum_game,77od11ub,16,responder,3,p3p4,0,4.0,1,4.0,1.0,2379.6,62d6d87d91cf24a3c1c0f10c,4.75,3.0
ultimatum_game,77od11ub,17,proposer,3,p1p3,1,5.0,1,5.0,1.0,2496.6,62d6d87d91cf24a3c1c0f10c,4.75,3.0
ultimatum_game,77od11ub,18,responder,3,p3p5,0,5.0,1,5.0,1.0,3076.3,62d6d87d91cf24a3c1c0f10c,4.75,3.0
ultimatum_game,77od11ub,19,responder,3,p3p6,1,5.0,1,5.0,1.0,2491.9,62d6d87d91cf24a3c1c0f10c,4.75,3.0
ultimatum_game,77od11ub,20,proposer,3,p2p3,0,5.0,1,5.0,1.0,2607.1,62d6d87d91cf24a3c1c0f10c,4.75,3.0
